,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,circumcision,"circumcise, circumcised",circle cut; cut around (R);,"Circumcision is a ritual cut made on a boy's or a man’s penis which removes the foreskin from the end of the penis. God commanded circumcision for all Israelite men or baby boys as a signal that they were loyal to God's Old Covenant. In the New Testament, physical circumcision is no longer required to make known relationship or loyalty to God. Rather, it is used in a figurative way to explain how Christ has cut away the believer's fleshly (sinful) nature to give a new, righteous nature (Col. 2:11-13; Rom. 4:11; 1 Cor 7:18).  Also, baptism is now the sign of our loyalty to God's New Covenant.",,,modified by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
t,city,cities,"big town (G, W);
","Cities are towns that are well organized; towns are villages that have a government; villages are groups of familty homes.  In Bible times, cities where usually the largest gathering of homes and buildings, often with a strong protective stone wall around it.  ","town, village",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,clean,cleanse,clear (K); clean (R);,"In Jewish culture, clean did not mean washed, and unclean did not mean dirty. Rather, clean and unclean were ceremonial categories. Clean meant things or actions that God allows/permits. Clean things or persons may serve God in his tent or his temple. But God forbids unclean things or persons. Unclean things must be kept away from God’s tent or temple. Some unclean things or persons may be made clean by washing with water, by offering a sacrifice, by sprinkling them with blood, or by a message from God. You may translate clean by ‘ceremonially pure, acceptable, or allowed’. You may translate unclean by ‘ceremonially impure, unacceptable, or forbidden’. (Deuteronomy 14 talks about clean and unclean animals.)  For those who believe in Jesus, his blood cleanses them from all sin and defilement through their faith in him.","pure, forgive",People can defile themselves by serving idols. Contact with dead or blood can make ritually unclean. (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,commandments,"command, commands, commandment, orders",,"A command is an order that a leader gives to others to obey. A commandment is a order that becomes permanent, such as the Ten Commandments, and Jesus' commandments.",law,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,concubine,concubines,"one-who-is-like-a-wife (G);
","A concubine is another wife which a man may take for certain reasons, such as to provide a male heir in the case of a barren wife, to provide more children in general to enhance the family’s workforce and wealth, and to satisfy the man’s sexual desires.  The concubine did not have the same status as a regular wife, and her children usually would not receive an inheritance like the children of a regular wife would.",,, ,,,,,,,,,,,,,,,,,,,,,,,,
t,condemn,condemned,,"To condemn means to pronounce judgement against someone, sometimes ordering officials to punish them. Judges condemn criminals, God condemns angels and humans who sin and do not repent. ","bless, curse",,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
t,confess,"confessed, confesses, confessing","tell (G); accept (W)
",To confess is to say what God has said about something. To confess sins is to admit that we have done something God forbids. To confess Christ is to say we believe what God has said about him.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,copyright ,license,,"WordLinks database designed and compiled by Robin Rempel.  Copyright 2022, Robin Rempel. Made available under a Creative Commons BY-NC-SA 4.0 International license.  
With acknowledgement and thanks to the following contributors of unpublished back translation (V-E) sample examples.  All used with permission or Fair Use for nonprofit, educational purposes.   
Sue Ness (Kenya) for Daasanach (D) back translations copyright 2019, SIL International.
Carl Harrison (Brazil) for Guajajara (G) back translations copyright 2019 SIL International.  Carl Harrison for Portuguese (P) back translations copyright 2019 Carl Harrison.
Robyn Davies (Papua New Guinea) for Ramoaaina (R) and Kandas (K) back translations copyright 2019, SIL International.  
Galen Currah (Senegal) for Wolof (W) back translations copyright 2019 WEC International and Galen Currah.  
Meaning notes and definitions copyright 2019 Galen Currah, ThD.  Used with permission.  
Special thanks to Hilkka Arminen, SIL translation consultant, for her expert review of the database and helpful editorial suggestions.     
Licensed under the terms of a Creative Commons Creative Commons BY-NC-SA 4.0 International license.        
",,"The © symbol was not utilized in this doc because it does not present properly when the xlsx doc is converted to a csv file and read in the SP software.  Instead, we are simply using the word ""copyright"" in the place of the © symbol.",,,"Key Term Database including back translation contributions from the following languages: Daasanach (D), Wolof (W), Guajajara (G), Kandas (K) and Ramoaaina (R). © 2019 Wycliffe Bible Translators, Inc.",,,,,,,,,,,,,,,,,,,,,,
n,Corinth,Corinthians,,Corinth was a large market city in the country called Greece.  It was a very pagan city full of people who worshipped many idols. Paul started a Christian churche at Corinth and wrote letters to the Corinthians (Acts 18).,,,,GC 7/7/2019; rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Cornelius,,,"Cornelius was a Roman military officer who was a gentile (non-Jew). But he believed in God and prayed to him. God sent an angel to him telling him to call for Peter. When Peter came and told them about Jesus, Cornelius and his household and friends became the first gentile Christians. (The name Cornelius means Horn.)",,,GC 08-Feb-2019  revised by CB 2024,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,country,"countries, nation, nations","earth / land (G); 
",A country is a very wide land where people make homes and may also have a government. A country may also be called a nation.,"kingdom, empire, province, land",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t 107,covenant,testament,"promising a thing with mouths together (promising each other something) (D);
strong promise;
agreement (W); agreement (tying) (R); 
my new words about what I am going to do (G) (Heb 8:8);
binding talk (PNG);
","Covenants are solemn agreements between two persons or groups who promise to help each other. God made covenants with several men and with the people of Israel. God promised to bless the Israelites, if they obeyed his laws. Jesus has made a ‘new’ covenant to give life to all who obey his commandments.","promise,
oath, agreement, alliance",binding tok (other language),Jesus' commandments include saving faith.,,,,,,,,,,,,,,,,,,,,,,,,
t 100,create,"created, creates","cause-be/sit (R); 
make (G);
",Create means to make something new. God created the world and all living things. God creates us new when we trust in Jesus. God will one day create a new heaven and a new earth.,"carve, build,
",,,,,,,,,,,,,,,,,,,,,,,,,,
t,cross,crosses,the wood;  tree cross (K); boards that they cross (W);,"Wooden crosses were a tool for torturing and killing violent criminals. The Romans would nail or tie a man's hands and feet to an upright wooden post with a wooden cross beam, then leave him to die. After Jesus died on a cross because of our sins, God forgives us who believe. (Jesus' cross also reminds us that we may have to suffer because of our faith in him.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,curse,"curses, cursed, ","say really bad things to/about (G);speak bad about (R); (strong) anger of God (R); cause harm; punish;
",A curse is spoken words that are intended to inflict harm or misfortune on someone else or on someone's belongings. It is done with the belief that some force or power will make it happen. ,"bless, condemn","maybe rather than condemn, it would be 'punish, cause harm'",,rev CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,curtain,,,"Curtains are large cloths, suspended from their top edge, that cover windows, close doorways, or divide rooms in a house.",,,material' can be anything. Cloth seems more specific. Opening also seems a bit general.,,,,,,,,,,,,,,,,,,,,,,,,
n,Damascus,,,"Damascus, northeast of Israel, is one of the oldest cities in the world.  It remains the capital city of the nation of Syria. Jesus appeared to a man named Saul near Damascus. When Saul believed in Jesus he changed his name to Paul.",,,GC 19-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Daniel,,,"Daniel was a young Jewish man when the Babylonians destroyed Jerusalem, taking many Jews captive to Babylon. Daniel, although he was a captive, he obeyed God all his life. He became an honest official, despite living and working in a pagan king's palace. God showed to Daniel the meaning of dreams, and revealed to him the future of nations.  (The name Daniel means ""God is my judge"".)",,,Jesus called Daniel a prophet (Mt 24:15) but the book of Daniel is not classed with the prophets but as a writing.,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Darius,,,"Darius was the 4th king of the Persian Empire, 550–486 BC. He conquered Babylon in 539 BC during the lifetime of Daniel. He made Daniel a governor in his kingdom, but later had to throw Daniel into the lions' den. (The name Darius means He holds goodness.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,David,King David,Dawuda (W from Arabic),"David, the second king of Israel, lived about 800 years before Jesus. He was a shepherd boy who gained a reputation as a valliant warrior. He also made music and songs, some of which have become psalms in the Bible. David remained faithful to God all his life, and God promised to him that his sons would rule over Israel forever. Jesus is a descendant (a son) of King David. (The name David means Beloved.)",king,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,death,"die, dead, dying, died",,"There are several kinds of death: (1) physical death, when our spirit leaves our body, (2) eternal death, called 'second death,' going to hell instead of to heaven forever, (3) spiritual death, not having God's life and Holy Spirit (Because Adam sinned, we all were born spiritually dead and need to be 'born again.') and (4) refusing to do wrong, called 'dying to self,' with help from God's Holy Spirit. ","blood, sacrifice",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Deborah,,,"In the Old Testament two women were named Deborah: (1) the woman who had cared for Rebekah who died near Bethel, and (2) the one who was a prophetess and a leader of the Israelites during the years of the Judges. She led them to victory over their enemies the Canaanites. (The name Deborah means ""bee"".) ",,,-4,rev by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,decree,decrees,,A decree is a formal law that a king pronounces. Everyone must obey their king's decrees.,"law, command",,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Delilah,,,"Delilah was the Philistine woman who Samson, the legendary warrior and Israelite judge, married. She betrayed Samson by finding out the secret to his strength and then having his hair cut, which robbed him of his strength. (The name Delilah means delightful.)",,,GC 07-Feb-19,rev by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Demetrius,,,There were two men named Demetrius. (1) One was a sliversmith in the city of Ephesus who worsipped a goddess called Artemis. He brought charges against Paul in a city court. (2) The other was a Christian who had a good reputation (3 John 1).,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,demon,"evil spirit, demons, evil spirits, devil, demonized","spirit rebellious to God; 
evil creature (W);
bad spirit (G);demon (R);","Demons are spirits that have rebelled against God their Creator and do what is evil. They can inhabit and exercise power over human beings who disobey God, who serve other gods, or who choose to do evil. Satan is the chief demon. Jesus has given power to his followers to cast out demons / evil spirits.","angel, Satan",,Demons are never said to be fallen angels (messengers). The Rabbis taught that demons are the disembodied souls of the biblical Nephelim. Local cultures have their own beliefs about evil spirits.,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Diana,,,"Diana is the name of a Greek goddess (idol) worshipped by people in the city of Ephesus, among others.",idol,,,,,,,,,,,,,,,,,,,,,,,,,,
t,disciple,disciples,"learner; student (lit. child of learning) (R); 
ones in training (apprentice);
ones I (Jesus) teach (G);
student (but not like in a classroom);
Christian;
ones who follow /obey Jesus; ",Disciples are those who follow a teacher's instructions. Jesus had many disciples. He commanded his disciples to go make other disciples of Jesus in every country by baptizing them and teaching them to obey his commandments.,"apostle, Christian",,"GC: Longer notes contain a lot of fascinating information, yet do not necessarily help translators find an appropriate term to employ. ",,,,,,,,,,,,,,,,,,,,,,,,
t,donkey,"donkeys, ass","horse-pig/animal; dongki (R)
small horse; pack-animal (W); animal (called) donki",Donkeys are animals like horses but they are smaller and have long ears. People can ride them and they can also carry loads and pull a plow.,,other language: animal (called) donki (Hilkka),,rev by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
